dom,avg_close
1,73.85979531735791
2,72.92020809650421
3,73.05450970518822
4,71.61446786434092
5,72.10877558649803
6,72.35490196826412
7,73.84240024566651
8,73.93370405832927
9,72.63673085432787
10,73.79882438510072
11,73.1650002186115
12,72.57470553529029
13,73.211153617272
14,73.94884556990404
15,73.2388235727946
16,72.61568570604511
17,72.79419994354248
18,74.15840000152588
19,72.84085127647887
20,72.10145783424377
21,73.73300022125244
22,73.8351851216069
23,72.74134643261249
24,73.03720001220704
25,75.64282616325046
26,73.97469368759467
27,73.37780040740967
28,74.42459983825684
29,73.44770860671997
30,70.8497874888968
31,74.31896531992945
