yr,mn,min_close,max_close,avg_close,std_close
2019,1,82.61833953857422,87.24502563476562,85.4118158249628,1.0239131907490897
2019,2,88.99524688720703,92.4493637084961,91.09115801359478,0.9926119303695162
2019,3,93.47932434082033,96.75362396240234,95.06851886567615,0.986720913207056
2019,4,90.00517272949219,97.36851501464844,93.87606448218936,2.453632790309552
2019,5,88.36811828613281,94.18170166015624,91.91374414617366,1.7564479768218797
2019,6,90.02913665771484,96.96817016601562,94.49683151245117,1.969955067383555
2019,7,95.41582489013672,98.21783447265624,96.72263370860706,0.8140214013487265
2019,8,90.31946563720705,95.6487045288086,92.43057250976562,1.5401616781956824
2019,9,91.17418670654295,97.94148254394533,95.06126747131347,2.170457284545496
2019,10,87.59841918945312,93.05618286132812,90.6757348102072,1.5900965193303231
2019,11,91.1271514892578,95.88699340820312,94.17141075134278,1.2951142480549633
2019,12,91.77164459228516,95.5014190673828,93.83507937476749,1.2134904765029382
2020,1,84.84264373779297,96.15869903564452,91.13814217703683,3.085892054291238
2020,2,74.77851867675781,88.72289276123047,85.00331597579152,4.452139790975211
2020,3,43.43789291381836,78.93646240234375,61.258545962246984,11.212514303393883
2020,4,54.92625427246094,75.80401611328125,67.15320169358026,4.746936136271735
2020,5,71.06122589111328,76.48497009277344,73.85381050109864,1.6453631790044658
2020,6,70.2835693359375,83.924072265625,75.69122002341531,3.7628762803025273
2020,7,67.25957489013672,74.29118347167969,71.40944636951794,1.9867295681024562
2020,8,68.94229888916016,73.78717041015625,71.32709721156529,1.500848823496596
2020,9,59.20786666870117,68.60032653808594,63.6042845589774,3.150497709318949
2020,10,55.15073013305664,62.028076171875,59.30907301469283,1.6840547360756941
2020,11,58.67185974121094,80.0105972290039,68.79134368896484,6.726955404631433
2020,12,70.58872985839844,78.11116027832031,73.89314582131125,2.4686855727490022
2021,1,70.88158416748047,79.90180969238281,75.96377764250103,2.572512672592336
2021,2,72.30408477783203,87.66719818115234,79.10597590396279,4.721845040900775
2021,3,86.53008270263672,94.6680145263672,90.31034287162448,2.712141254048451
2021,4,85.6645278930664,90.71361541748048,87.60091363816034,1.286769026374967
2021,5,88.48262023925781,94.03155517578124,90.76304092407227,1.7273404801587522
2021,6,88.49979400634766,94.7445068359375,91.95051123879172,1.5901313709229932
2021,7,82.42684936523438,91.23131561279295,87.25019146147228,2.3990048136906594
2021,8,82.08435821533203,88.34517669677734,85.95956386219372,1.81009026267018
2021,9,82.51090240478516,89.9802474975586,85.4782467796689,2.356178931947261
2021,10,90.8246841430664,99.6694793701172,95.37310863676525,2.97605120883597
2021,11,98.3810806274414,103.1990966796875,100.35145314534505,1.335839011585266
2021,12,98.7167739868164,104.60808563232422,102.48500234430486,1.6022757094947047
2022,1,105.02198028564452,119.20864868164062,112.31300926208496,3.5642048330487808
2022,2,117.81735229492188,128.1396942138672,120.51371644672595,2.479690202928924
2022,3,133.22970581054688,152.076904296875,145.21533999235734,4.8923081830876045
2022,4,139.03160095214844,154.7375946044922,147.01006851196288,5.080938304792638
2022,5,141.71006774902344,159.94920349121094,150.61493573869978,5.447486110773965
2022,6,127.78532409667967,162.50619506835938,145.38284592401413,12.82134164808552
2022,7,121.96261596679688,146.94009399414062,129.54288558959962,5.483233820225571
2022,8,135.5997314453125,149.04478454589844,142.75221119756284,3.703680938472369
2022,9,127.61556243896484,147.81350708007812,139.15551176525298,6.4070385012765385
2022,10,137.365966796875,163.77452087402344,150.23418535505022,7.988241148349853
2022,11,161.08566284179688,170.2476348876953,166.36865016392298,2.55942285914338
2022,12,153.27223205566406,166.4919891357422,159.1229233514695,3.8078856772164618
2023,1,157.04931640625,171.3273468017578,162.05986251831055,3.2341183080045113
2023,2,147.58616638183594,158.82835388183594,153.07897708290503,3.5822210734294124
2023,3,140.21372985839844,152.94288635253906,146.74098603621772,3.6000697096501555
2023,4,152.7679901123047,158.71380615234375,156.05383782637747,1.5273265003374683
2023,5,139.98818969726562,153.92771911621094,144.64353734796697,2.838729581707454
2023,6,140.6666717529297,148.54808044433594,144.9317888532366,2.2485715784864335
2023,7,142.08865356445312,152.1077423095703,146.3639709472656,3.0421005700212262
2023,8,147.43280029296875,152.56314086914062,149.59482209578803,1.399027506187622
2023,9,153.66339111328125,160.4945526123047,156.7543098449707,1.6491447102060992
2023,10,135.45010375976562,158.67416381835938,151.16953069513494,7.0777475746495035
2023,11,133.188720703125,139.5882110595703,136.2847137451172,1.6209577378986992
2023,12,135.03997802734375,144.51231384277344,139.81502532958984,3.458313524611006
2024,1,134.4710693359375,144.43646240234375,139.05891927083334,3.1437121693787935
2024,2,140.22653198242188,148.99354553222656,145.64584350585938,2.401621871774226
2024,3,142.1784210205078,151.1981658935547,147.12537002563477,2.8141146848212153
2024,4,149.7987060546875,159.43190002441406,154.38090098987925,2.679446729552529
2024,5,151.91163635253906,158.94305419921875,155.19076676802203,2.1318220986558742
2024,6,147.7193145751953,154.24501037597656,150.75183266087583,1.7744977496604932
2024,7,148.11627197265625,156.82044982910156,152.00449856844816,2.3173604682403166
2024,8,137.88232421875,147.76771545410156,142.25108337402344,2.450276383000857
2024,9,134.99044799804688,144.44798278808594,139.82152557373047,3.0395387104607505
2024,10,144.63401794433594,148.59913635253906,147.0207466457201,1.145529626821836
2024,11,149.8621063232422,160.74703979492188,156.30556564331056,3.780409617634641
2024,12,139.60157775878906,160.43055725097656,149.02044895717077,7.142140781376325
2025,1,145.10060119628906,159.69866943359375,152.93735463995682,4.237807422616663
