Date,Close,prev_close,daily_change
2020-03-24,16.959308624267578,13.946192741394045,3.0131158828735334
2023-02-07,33.71144104003906,31.112754821777344,2.5986862182617188
2024-02-06,33.98970031738281,31.981517791748047,2.0081825256347656
2022-05-03,26.92965316772461,24.9259090423584,2.003744125366211
2020-11-09,14.709095001220703,12.724018096923828,1.985076904296875
2020-03-25,18.6230411529541,16.959308624267578,1.6637325286865234
2023-04-03,35.83657455444336,34.2133674621582,1.6232070922851562
2020-06-05,21.816390991210938,20.226024627685547,1.5903663635253906
2022-11-22,31.15740394592285,29.585693359375,1.5717105865478516
2022-03-02,26.005512237548828,24.60634422302246,1.3991680145263672
