dom,avg_close
1,73.62998098256637
2,73.25032309691112
3,73.72308529124541
4,70.58595945480022
5,74.06644007624412
6,74.50459263371486
7,73.7959284210205
8,74.04954592386882
9,73.01947283277325
10,74.1637410182579
11,72.95100021362305
12,73.99556519003475
13,74.26546038114108
14,73.82023826012245
15,73.8202413671157
16,72.51638281579112
17,73.54352256774902
18,73.8810786819458
19,72.53782645692216
20,72.9084179798762
21,74.06705425262452
22,73.31692798049362
23,72.40069482840744
24,72.91841709136963
25,74.85267593549645
26,74.64821040873625
27,73.99641628265381
28,73.27439193725586
29,72.79977210362752
30,72.24746907010991
31,75.27631693872912
