day_of_week,avg_close,std_close
Monday,73.25238041138985,28.958684730969622
Tuesday,73.57283662240717,28.564118985827523
Wednesday,73.33884381181515,28.485629362025637
Thursday,73.32659477554864,28.5635750571507
Friday,73.96997883576135,28.564214274531313
