dom,avg_close
1,387.1096406274912
2,389.42575136820477
3,387.9081776936849
4,382.7849312640251
5,389.04683732013314
6,388.1916689405254
7,387.68180572509766
8,389.809568617079
9,387.15232310575595
10,390.711960736443
11,386.90675354003906
12,391.2107893999885
13,390.29779903705304
14,387.89492005568286
15,389.60524495442706
16,392.75615886613434
17,390.200188293457
18,390.74756622314453
19,387.8662726219664
20,388.41730308532715
21,391.94882232666015
22,391.41067052770546
23,390.5579047109566
24,388.26762786865237
25,386.20792488429856
26,393.0099917042012
27,391.70864440917967
28,388.2084762573242
29,392.63265069325763
30,391.077693208735
31,391.42787696575294
