Date,Close,daily_articles
2019-01-02,45.413028717041016,1
2019-01-03,45.31354522705078,1
2019-01-07,46.40027618408203,6
2019-01-09,46.65281295776367,3
2019-01-11,46.33139419555664,1
2019-01-14,46.23190689086914,3
2019-01-16,45.94108963012695,1
2019-01-17,46.05588150024414,3
2019-01-18,46.73700714111328,2
2019-01-22,45.62731170654297,1
2019-01-23,45.08395004272461,1
2019-01-29,45.0303840637207,1
2019-01-30,45.58140563964844,2
2019-01-31,47.24210357666016,4
2019-02-01,48.09159469604492,3
2019-02-04,48.52781677246094,2
2019-02-05,48.73443984985352,2
2019-02-06,48.856895446777344,1
2019-02-12,48.33648681640625,1
2019-02-13,48.2523078918457,3
2019-02-14,48.244537353515625,3
2019-02-22,48.68735885620117,1
2019-02-25,48.59413146972656,2
2019-02-26,48.53975677490234,1
2019-02-27,48.56305313110352,1
2019-02-28,48.32999038696289,2
2019-03-01,48.41544723510742,2
2019-03-05,48.462059020996094,1
2019-03-07,47.832786560058594,1
2019-03-08,47.23458099365234,1
2019-03-11,47.56863784790039,3
2019-03-13,48.93595123291016,1
2019-03-14,48.98257064819336,1
2019-03-15,49.16902923583984,3
2019-03-18,49.79053115844727,1
2019-03-19,49.681766510009766,2
2019-03-20,50.09352111816406,1
2019-03-21,49.78276443481445,4
2019-03-22,48.85050201416016,1
2019-03-25,48.78058624267578,4
2019-03-26,49.099098205566406,3
2019-03-27,48.6174430847168,1
2019-03-28,48.66404342651367,1
2019-03-29,48.62520980834961,1
2019-04-01,49.16126251220703,7
2019-04-02,49.33993148803711,5
2019-04-03,49.58077621459961,2
2019-04-04,49.69730758666992,2
2019-04-05,50.12459182739258,1
2019-04-08,50.730560302734375,2
2019-04-09,50.16343307495117,1
2019-04-11,50.43534851074219,1
2019-04-15,50.171199798583984,2
2019-04-16,49.95368576049805,2
2019-04-17,50.17897033691406,1
2019-04-22,50.683963775634766,1
2019-04-23,50.497501373291016,2
2019-04-24,49.30110168457031,2
2019-04-26,48.99034118652344,1
2019-04-29,49.04472732543945,2
2019-05-02,49.487548828125,4
2019-05-03,49.94591522216797,4
2019-05-06,49.80607604980469,1
2019-05-08,48.71842575073242,1
2019-05-09,49.04472732543945,2
2019-05-13,49.23895263671875,3
2019-05-14,49.80607604980469,2
2019-05-16,50.65675354003906,1
2019-05-17,50.664642333984375,2
2019-05-20,50.790771484375,3
2019-05-21,50.822303771972656,2
2019-05-22,50.23107147216797,3
2019-05-23,49.2378044128418,7
2019-05-24,49.89997863769531,2
2019-05-28,49.31663513183594,1
2019-05-29,49.15896987915039,5
2019-05-30,49.09590148925781,1
2019-06-03,49.17473220825195,2
2019-06-05,49.47429275512695,3
2019-06-06,50.1522331237793,4
2019-06-07,50.8301887512207,1
2019-06-11,50.85384368896485,7
2019-06-12,50.04977035522461,3
2019-06-13,50.25472259521485,4
2019-06-14,50.0024642944336,2
2019-06-17,49.60042190551758,1
2019-06-19,50.7513542175293,4
2019-06-20,51.6500244140625,1
2019-06-21,51.79191970825195,4
2019-06-25,51.8392219543457,1
2019-06-26,52.03630828857422,4
2019-06-27,51.31105422973633,1
2019-06-28,51.2952880859375,3
2019-07-02,51.32682037353516,2
2019-07-05,50.91690444946289,1
2019-07-09,50.79865264892578,2
2019-07-10,51.4293098449707,1
2019-07-11,51.5396614074707,1
2019-07-12,51.28740692138672,2
2019-07-16,50.309906005859375,5
2019-07-17,49.92363739013672,3
2019-07-18,49.76597595214844,1
2019-07-19,50.17589569091797,1
2019-07-22,50.37297058105469,1
2019-07-23,50.286251068115234,1
2019-07-24,49.7974967956543,1
2019-07-25,49.56100463867188,2
2019-07-30,50.29413986206055,1
2019-07-31,49.576778411865234,1
2019-08-01,46.33681869506836,6
2019-08-02,46.04514694213867,1
2019-08-05,44.98881149291992,5
2019-08-07,44.98881149291992,2
2019-08-08,45.73771286010742,1
2019-08-12,45.06764602661133,3
2019-08-13,45.485450744628906,6
2019-08-14,44.44488525390625,3
2019-08-15,44.16429901123047,3
2019-08-16,44.54108428955078,1
2019-08-19,44.94192886352539,2
2019-08-20,44.62125015258789,1
2019-08-21,45.08623504638672,3
2019-08-22,44.805641174316406,3
2019-08-26,44.34066390991211,1
2019-08-27,44.052059173583984,1
2019-08-28,44.63727951049805,1
2019-08-29,44.65331268310547,1
2019-08-30,44.573150634765625,1
2019-09-03,44.308589935302734,2
2019-09-04,44.805641174316406,3
2019-09-05,44.68539047241211,4
2019-09-09,45.10225677490234,2
2019-09-10,45.54317855834961,1
2019-09-12,45.33473587036133,1
2019-09-13,45.59127426147461,1
2019-09-17,46.569313049316406,2
2019-09-18,46.67354202270508,6
2019-09-19,46.74568176269531,2
2019-09-20,46.881980895996094,1
2019-09-24,46.408992767333984,1
2019-09-25,46.36088180541992,2
2019-09-26,46.93809509277344,3
2019-09-27,47.38702774047852,3
2019-10-02,45.382843017578125,1
2019-10-03,45.68748092651367,5
2019-10-04,45.93599319458008,1
2019-10-07,45.83979415893555,3
2019-10-08,45.24655151367188,1
2019-10-09,45.33473587036133,2
2019-10-10,45.90392303466797,4
2019-10-11,46.37691879272461,4
2019-10-14,46.35286331176758,4
2019-10-15,46.12840270996094,2
2019-10-17,46.62543869018555,2
2019-10-18,46.272705078125,3
2019-10-21,46.72163391113281,8
2019-10-22,47.2507438659668,3
2019-10-23,47.787864685058594,2
2019-10-24,47.755802154541016,4
2019-10-25,47.84397888183594,1
2019-10-28,48.03638458251953,1
2019-10-30,48.140602111816406,1
2019-10-31,46.47312545776367,2
2019-11-01,47.01023864746094,1
2019-11-04,47.65158081054688,2
2019-11-05,48.22879409790039,1
2019-11-06,47.99629592895508,4
2019-11-07,48.39712905883789,2
2019-11-08,48.30094146728516,2
2019-11-11,48.24482727050781,1
2019-11-12,48.012332916259766,3
2019-11-13,48.3330078125,2
2019-11-14,48.15385055541992,4
2019-11-15,48.51217269897461,2
2019-11-18,48.39001083374024,2
2019-11-19,47.82809066772461,3
2019-11-20,47.59193420410156,1
2019-11-21,47.77923583984375,2
2019-11-22,47.59193420410156,1
2019-11-25,47.75480270385742,2
2019-11-27,47.07073211669922,1
2019-11-29,46.81827163696289,1
2019-12-03,45.77587127685547,2
2019-12-04,46.28892517089844,3
2019-12-05,46.00389862060547,3
2019-12-06,46.655399322509766,1
2019-12-09,46.63910675048828,1
2019-12-10,46.71240234375,2
2019-12-11,46.74498748779297,1
2019-12-12,47.03815841674805,4
2019-12-13,46.77755355834961,2
2019-12-16,47.3639030456543,5
2019-12-17,47.61636352539063,3
2019-12-18,47.657073974609375,1
2019-12-19,47.9665412902832,4
2019-12-20,47.38019561767578,5
2019-12-23,47.88510513305664,2
2019-12-24,47.80366897583008,3
2019-12-26,47.94211196899414,2
2019-12-27,48.12126922607422,1
2019-12-31,48.031681060791016,1
2020-01-03,49.03336715698242,1
2020-01-07,49.1880989074707,1
2020-01-08,48.609893798828125,2
2020-01-09,48.60174560546875,4
2020-01-13,48.01540756225586,2
2020-01-15,47.90138626098633,1
2020-01-16,47.86067199707031,2
2020-01-17,47.6733627319336,1
2020-01-21,46.79383850097656,1
2020-01-22,46.77755355834961,1
2020-01-23,46.74498748779297,1
2020-01-24,46.55766296386719,1
2020-01-28,45.53971099853516,1
2020-01-30,43.84581756591797,7
2020-01-31,42.46952819824219,5
2020-02-03,41.72844696044922,4
2020-02-04,42.06233215332031,1
2020-02-05,43.12102890014648,1
2020-02-07,42.17634963989258,3
2020-02-10,41.8506088256836,1
2020-02-11,42.33922958374024,1
2020-02-12,42.87671661376953,2
2020-02-14,41.8651237487793,1
2020-02-19,41.64124298095703,2
2020-02-20,41.14372634887695,1
2020-02-21,40.770599365234375,2
2020-02-24,39.20345306396485,1
2020-02-25,38.059200286865234,2
2020-02-26,37.934818267822266,1
2020-03-03,36.45058822631836,2
2020-03-04,37.56169128417969,1
2020-03-05,36.259883880615234,1
2020-03-06,34.71761703491211,2
2020-03-09,28.755836486816406,2
2020-03-10,30.6463623046875,1
2020-03-11,28.59829330444336,1
2020-03-12,24.319744110107425,2
2020-03-16,20.9947452545166,1
2020-03-17,21.27666282653809,1
2020-03-18,17.926795959472656,1
2020-03-19,19.933399200439453,1
2020-03-26,28.963132858276367,2
2020-03-27,26.23514175415039,3
2020-03-30,27.72765350341797,3
2020-04-01,29.278223037719727,1
2020-04-02,32.304710388183594,3
2020-04-03,30.049354553222656,1
2020-04-06,30.95314598083496,1
2020-04-07,30.89511108398437,3
2020-04-14,30.68781852722168,1
2020-04-15,28.49050521850586,1
2020-04-16,27.031147003173828,5
2020-04-17,29.419178009033203,3
2020-04-20,27.76082420349121,3
2020-04-21,27.304780960083008,1
2020-04-28,29.85034942626953,3
2020-04-29,31.516986846923828,1
2020-04-30,27.47061347961425,9
2020-05-01,25.94493293762207,2
2020-05-04,27.1555290222168,2
2020-05-05,27.420862197875977,2
2020-05-06,26.583398818969727,1
2020-05-12,26.70777130126953,1
2020-05-13,25.73763465881348,1
2020-05-14,25.27683448791504,2
2020-05-15,25.24332427978516,2
2020-05-18,27.497039794921875,3
2020-05-19,26.94408798217773,2
2020-05-20,28.02486991882324,1
2020-05-21,27.17867088317871,1
2020-05-26,27.38813018798828,2
2020-06-02,28.48566246032715,3
2020-06-03,29.868059158325195,2
2020-06-04,29.80102729797364,2
2020-06-05,31.64422416687012,1
2020-06-08,32.91769790649414,1
2020-06-09,31.21693420410156,3
2020-06-10,30.370738983154297,1
2020-06-15,28.921327590942383,1
2020-06-16,29.29834747314453,1
2020-06-18,28.73699951171875,2
2020-06-19,28.43539810180664,1
2020-06-22,28.82917022705078,1
2020-06-23,29.19780731201172,4
2020-06-24,27.74838829040528,1
2020-06-25,28.393505096435547,2
2020-06-26,27.572444915771484,1
2020-06-29,28.0164852142334,3
2020-06-30,27.38813018798828,4
2020-07-01,27.455154418945312,2
2020-07-02,27.564069747924805,2
2020-07-06,28.02486991882324,1
2020-07-07,27.337860107421875,1
2020-07-08,27.438396453857425,3
2020-07-10,26.98597717285156,1
2020-07-13,27.153539657592773,3
2020-07-14,28.07513427734375,2
2020-07-15,28.46890640258789,2
2020-07-16,28.04999732971192,2
2020-07-17,27.572444915771484,1
2020-07-20,27.153539657592773,3
2020-07-21,28.008106231689453,2
2020-07-22,27.438396453857425,2
2020-07-23,27.136781692504883,1
2020-07-24,27.05299949645996,3
2020-07-28,26.89381599426269,1
2020-07-29,27.153539657592773,1
2020-07-30,25.838172912597656,9
2020-07-31,24.97522354125977,1
2020-08-03,25.3857536315918,5
2020-08-04,26.265457153320312,1
2020-08-05,26.40788650512696,4
2020-08-06,26.181678771972656,2
2020-08-07,25.838172912597656,1
2020-08-10,26.3492374420166,2
2020-08-12,27.53893280029297,3
2020-08-13,26.79441261291504,3
2020-08-14,26.32062149047852,1
2020-08-17,26.176794052124023,5
2020-08-18,25.8383731842041,1
2020-08-19,25.73684883117676,1
2020-08-20,25.4830322265625,3
2020-08-24,25.82991409301757,1
2020-08-25,25.432270050048828,1
2020-08-26,25.406885147094727,3
2020-08-27,25.195375442504883,1
2020-08-28,25.542255401611328,2
2020-08-31,25.110763549804688,1
2020-09-01,24.704668045043945,4
2020-09-03,24.484691619873047,1
2020-09-04,24.459312438964844,3
2020-09-08,23.71478843688965,1
2020-09-09,24.129356384277344,2
2020-09-11,23.757089614868164,2
2020-09-14,23.4525089263916,1
2020-09-15,23.55403518676757,2
2020-09-16,23.731704711914062,1
2020-09-21,22.259580612182617,6
2020-09-22,22.53877639770508,4
2020-09-23,22.09883499145508,6
2020-09-24,22.45417213439941,1
2020-09-25,21.77733421325684,2
2020-09-28,22.07345199584961,3
2020-09-29,21.701187133789062,3
2020-09-30,21.29508399963379,6
2020-10-01,20.508256912231445,1
2020-10-05,21.49813270568848,2
2020-10-06,21.405067443847656,1
2020-10-07,21.650428771972656,2
2020-10-19,21.185096740722656,2
2020-10-20,21.421993255615234,5
2020-10-21,21.00742721557617,2
2020-10-26,21.00742721557617,1
2020-10-28,19.54376220703125,1
2020-10-29,20.83821678161621,4
