dom,avg_close
1,69.68632670811245
2,68.91166663169861
3,68.89431351306392
4,67.3970209486941
5,67.75408160929777
6,67.9399995990828
7,69.3212005996704
8,69.51296357755308
9,68.54211521148682
10,69.6449016496247
11,68.94884601006142
12,68.4111759335387
13,68.90346189645621
14,69.40826911192674
15,68.77803948346306
16,68.49960802115646
17,68.45059989929199
18,69.97560031890869
19,68.73297902371021
20,66.63354182243347
21,69.0928006362915
22,69.13185163780496
23,67.8739216374416
24,68.28419990539551
25,70.74978260371996
26,69.17571449279785
27,68.69879972457886
28,69.55439987182618
29,68.57395893335342
30,65.99765972380942
31,69.22103460903826
