Date,Close,prev_close,daily_change
2022-07-29,146.94009399414062,134.92684936523438,12.01324462890625
2020-03-24,53.31596755981445,43.43789291381836,9.878074645996094
2023-01-26,171.3273468017578,163.3809356689453,7.9464111328125
2022-03-08,151.74769592285156,144.1927490234375,7.5549468994140625
2022-10-03,137.365966796875,130.0690155029297,7.2969512939453125
2022-10-13,149.63319396972656,142.7164764404297,6.916717529296875
2020-11-09,65.4749984741211,58.67185974121094,6.803138732910156
2023-04-03,156.4219970703125,150.17247009277344,6.2495269775390625
2020-04-02,60.98288345336914,54.92625427246094,6.056629180908203
2020-04-17,69.83549499511719,64.08330535888672,5.752189636230469
