Date,Close,prev_close,daily_change
2022-11-10,382.1025695800781,362.1982727050781,19.904296875
2020-03-13,249.6931915283203,230.02883911132807,19.664352416992244
2020-03-24,226.75587463378903,207.9178466796875,18.838027954101534
2020-04-06,247.0020904541016,231.45606994628903,15.546020507812557
2024-11-06,589.0574340820312,574.7655639648438,14.2918701171875
2020-03-26,243.58892822265625,230.1504821777344,13.438446044921847
2020-03-10,267.4012756347656,254.2453765869141,13.155899047851534
2022-05-04,411.8978576660156,399.7250061035156,12.1728515625
2022-11-30,394.6782531738281,382.6253967285156,12.0528564453125
2020-03-17,234.37705993652344,222.37081909179688,12.006240844726562
