dom,avg_close
1,47.436504714343016
2,47.49541346232096
3,48.01473187465294
4,46.63511057102934
5,48.2988199895742
6,48.24583943684896
7,47.955042114257814
8,48.17238344969573
9,47.41094417198032
10,48.260073717902685
11,47.83219678585346
12,48.14269937253466
13,48.12182444792528
14,47.67972384966337
15,48.05686116686054
16,47.300550909603345
17,47.78435356140137
18,48.03054695129394
19,47.333244851294985
20,47.51866368452708
21,47.62776000976562
22,47.773698524192525
23,47.12024464326746
24,47.80162761688232
25,48.520542808201
26,48.41171482631138
27,47.62519920349121
28,47.10435276031494
29,47.41003962357839
30,47.13952433809321
31,48.63480574509193
