dom,avg_close
1,27.24670630085225
2,27.028261482715607
3,27.476894004672182
4,26.7457273970259
5,27.54948530391771
6,27.62141960742427
7,27.527352447509767
8,27.564510857617414
9,27.099040779412963
10,27.663723010642855
11,27.3623486665579
12,27.465981109469546
13,27.594775199890137
14,27.494671693215004
15,27.449299812316895
16,26.849962010103113
17,27.279711265563964
18,27.36695400238037
19,26.934802014777002
20,27.159390072027843
21,27.32133560180664
22,27.220714851661963
23,26.766588641147987
24,27.35099889755249
25,27.8147553982942
26,27.53761912365349
27,27.240885181427004
28,27.20368116378784
29,26.84845958153407
30,26.716189262714792
31,27.6180933590593
