dom,avg_close
1,116.12993730817523
2,115.68793018658955
3,116.12343051386814
4,112.68271977850732
5,116.22759348032426
6,117.17045608221316
7,116.63874732971192
8,116.61106095490632
9,115.36165439381318
10,117.26385542925667
11,115.7728999211238
12,116.271588269402
13,117.25129765730638
14,117.10173262082614
15,115.82956089692958
16,114.50327188828412
17,116.26126953125
18,116.86360763549804
19,114.97788400852934
20,115.35974717140198
21,117.12190765380859
22,115.52201214543095
23,114.5885457057579
24,115.2068115234375
25,118.32023463041887
26,117.03356746751435
27,116.42541221618653
28,116.17613327026368
29,115.29758183161418
30,113.39302931440638
31,118.60330621127424
